Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-26T15:30:00,20240626153000,0.383,38.3
2024-06-26T15:40:00,20240626154000,0.324,37.5
2024-06-26T15:50:00,20240626155000,0.292,36.5
2024-06-26T16:00:00,20240626160000,0.461,34.5
2024-06-26T16:10:00,20240626161000,0.278,34.5
2024-06-26T16:20:00,20240626162000,0.258,33.8
2024-06-26T16:30:00,20240626163000,0.361,34.6
2024-06-26T16:40:00,20240626164000,0.172,32.2
2024-06-26T16:50:00,20240626165000,0.199,33.4
2024-06-26T17:00:00,20240626170000,0.188,31.7
2024-06-26T17:10:00,20240626171000,0.359,30.3
2024-06-26T17:20:00,20240626172000,0.429,29.8
2024-06-26T17:30:00,20240626173000,0.363,29.4
2024-06-26T17:40:00,20240626174000,0.361,28.8
2024-06-26T17:50:00,20240626175000,0.4,27.3
2024-06-26T18:00:00,20240626180000,0.313,27.8
2024-06-26T18:10:00,20240626181000,0.391,26.3
2024-06-26T18:20:00,20240626182000,0.388,25.9
2024-06-26T18:30:00,20240626183000,0.201,25.2
2024-06-26T18:40:00,20240626184000,0.311,24.5
2024-06-26T18:50:00,20240626185000,0.283,23.3
2024-06-26T19:00:00,20240626190000,0.298,23.5
2024-06-26T19:10:00,20240626191000,0.334,22.5
2024-06-26T19:20:00,20240626192000,0.307,22.1
2024-06-26T19:30:00,20240626193000,0.278,21.8
2024-06-26T19:40:00,20240626194000,0.197,21.3
2024-06-26T19:50:00,20240626195000,0.296,20.9
2024-06-26T20:00:00,20240626200000,0.3,20.3
2024-06-26T20:10:00,20240626201000,0.203,19.6
2024-06-26T20:20:00,20240626202000,0.137,19.7
2024-06-26T20:30:00,20240626203000,0.242,19.4
2024-06-26T20:40:00,20240626204000,0.298,19.2
2024-06-26T20:50:00,20240626205000,0.152,19.5
2024-06-26T21:00:00,20240626210000,0.295,19.7
2024-06-26T21:10:00,20240626211000,0.149,19.8
2024-06-26T21:20:00,20240626212000,0.237,19.7
2024-06-26T21:30:00,20240626213000,0.15,19.3
2024-06-26T21:40:00,20240626214000,0.0944,19.3
2024-06-26T21:50:00,20240626215000,0.115,19.1
2024-06-26T22:00:00,20240626220000,0.154,18.7
2024-06-26T22:10:00,20240626221000,0.14,18.4
2024-06-26T22:20:00,20240626222000,0.238,19.0
2024-06-26T22:30:00,20240626223000,0.199,19.4
2024-06-26T22:40:00,20240626224000,0.116,19.7
2024-06-26T22:50:00,20240626225000,0.212,19.7
2024-06-26T23:00:00,20240626230000,0.096,20.3
2024-06-26T23:10:00,20240626231000,0.14,20.2
2024-06-26T23:20:00,20240626232000,0.225,20.0
2024-06-26T23:30:00,20240626233000,0.0535,19.9
2024-06-26T23:40:00,20240626234000,0.2,19.8
2024-06-26T23:50:00,20240626235000,0.185,20.1
2024-06-27T00:00:00,20240627000000,0.274,20.6
2024-06-27T00:10:00,20240627001000,0.218,20.3
2024-06-27T00:20:00,20240627002000,0.294,20.3
2024-06-27T00:30:00,20240627003000,0.162,20.8
2024-06-27T00:40:00,20240627004000,0.145,20.5
2024-06-27T00:50:00,20240627005000,0.107,21.0
2024-06-27T01:00:00,20240627010000,0.15,20.9
2024-06-27T01:10:00,20240627011000,0.175,20.7
2024-06-27T01:20:00,20240627012000,0.125,21.0
2024-06-27T01:30:00,20240627013000,0.153,20.6
2024-06-27T01:40:00,20240627014000,0.24,20.3
2024-06-27T01:50:00,20240627015000,0.12,20.6
2024-06-27T02:00:00,20240627020000,0.193,20.5
2024-06-27T02:10:00,20240627021000,-0.0197,20.5
2024-06-27T02:20:00,20240627022000,0.135,20.2
2024-06-27T02:30:00,20240627023000,0.217,20.1
2024-06-27T02:40:00,20240627024000,0.154,20.2
2024-06-27T02:50:00,20240627025000,0.197,19.7
2024-06-27T03:00:00,20240627030000,0.2,19.7
2024-06-27T03:10:00,20240627031000,0.0988,19.0
2024-06-27T03:20:00,20240627032000,0.0588,19.0
2024-06-27T03:30:00,20240627033000,0.238,18.7
2024-06-27T03:40:00,20240627034000,0.155,18.7
2024-06-27T03:50:00,20240627035000,0.0119,18.1
2024-06-27T04:00:00,20240627040000,0.155,17.8
2024-06-27T04:10:00,20240627041000,0.292,17.3
2024-06-27T04:20:00,20240627042000,0.292,17.3
2024-06-27T04:30:00,20240627043000,0.221,17.3
2024-06-27T04:40:00,20240627044000,0.287,17.6
2024-06-27T04:50:00,20240627045000,0.249,17.1
2024-06-27T05:00:00,20240627050000,0.27,18.1
2024-06-27T05:10:00,20240627051000,0.275,19.0
2024-06-27T05:20:00,20240627052000,0.233,19.1
2024-06-27T05:30:00,20240627053000,0.349,21.0
2024-06-27T05:40:00,20240627054000,0.348,21.4
2024-06-27T05:50:00,20240627055000,0.189,21.3
2024-06-27T06:00:00,20240627060000,0.239,23.5
2024-06-27T06:10:00,20240627061000,0.282,24.1
2024-06-27T06:20:00,20240627062000,0.198,25.8
2024-06-27T06:30:00,20240627063000,0.292,26.9
2024-06-27T06:40:00,20240627064000,0.213,27.2
2024-06-27T06:50:00,20240627065000,0.323,28.0
2024-06-27T07:00:00,20240627070000,0.298,30.2
2024-06-27T07:10:00,20240627071000,0.264,28.7
2024-06-27T07:20:00,20240627072000,0.36,32.5
2024-06-27T07:30:00,20240627073000,0.194,34.8
2024-06-27T07:40:00,20240627074000,0.331,35.0
2024-06-27T07:50:00,20240627075000,0.294,36.6
2024-06-27T08:00:00,20240627080000,0.33,37.9
2024-06-27T08:10:00,20240627081000,0.35,39.0
2024-06-27T08:20:00,20240627082000,0.194,40.4
2024-06-27T08:30:00,20240627083000,0.358,39.9
2024-06-27T08:40:00,20240627084000,0.313,40.9
2024-06-27T08:50:00,20240627085000,0.347,42.1
2024-06-27T09:00:00,20240627090000,0.149,42.1
2024-06-27T09:10:00,20240627091000,0.349,42.9
2024-06-27T09:20:00,20240627092000,0.327,44.8
2024-06-27T09:30:00,20240627093000,0.329,47.0
2024-06-27T09:40:00,20240627094000,0.381,48.7
2024-06-27T09:50:00,20240627095000,0.25,47.8
2024-06-27T10:00:00,20240627100000,0.347,46.1
2024-06-27T10:10:00,20240627101000,0.368,50.2
2024-06-27T10:20:00,20240627102000,0.261,48.2
2024-06-27T10:30:00,20240627103000,0.263,47.6
2024-06-27T10:40:00,20240627104000,0.4,49.8
2024-06-27T10:50:00,20240627105000,0.244,49.6
2024-06-27T11:00:00,20240627110000,0.204,48.3
2024-06-27T11:10:00,20240627111000,0.335,48.5
2024-06-27T11:20:00,20240627112000,0.355,48.2
2024-06-27T11:30:00,20240627113000,0.299,49.2
2024-06-27T11:40:00,20240627114000,0.309,48.3
2024-06-27T11:50:00,20240627115000,0.298,47.9
2024-06-27T12:00:00,20240627120000,0.306,49.9
2024-06-27T12:10:00,20240627121000,0.424,49.8
2024-06-27T12:20:00,20240627122000,0.418,49.4
2024-06-27T12:30:00,20240627123000,0.359,50.5
2024-06-27T12:40:00,20240627124000,0.203,50.3
2024-06-27T12:50:00,20240627125000,0.34,47.4
2024-06-27T13:00:00,20240627130000,0.256,45.1
2024-06-27T13:10:00,20240627131000,0.358,44.7
2024-06-27T13:20:00,20240627132000,0.369,45.7
2024-06-27T13:30:00,20240627133000,0.296,43.6
2024-06-27T13:40:00,20240627134000,0.448,42.6
2024-06-27T13:50:00,20240627135000,0.348,44.5
2024-06-27T14:00:00,20240627140000,0.416,43.5
2024-06-27T14:10:00,20240627141000,0.381,44.2
2024-06-27T14:20:00,20240627142000,0.231,44.3
2024-06-27T14:30:00,20240627143000,0.522,43.2
2024-06-27T14:40:00,20240627144000,0.313,42.9
2024-06-27T14:50:00,20240627145000,0.42,41.9
2024-06-27T15:00:00,20240627150000,0.363,40.8
2024-06-27T15:10:00,20240627151000,0.3,38.6
2024-06-27T15:20:00,20240627152000,0.271,39.2
2024-06-27T15:30:00,20240627153000,0.441,38.6
2024-06-27T15:40:00,20240627154000,0.482,37.8
2024-06-27T15:50:00,20240627155000,0.409,37.8
2024-06-27T16:00:00,20240627160000,0.433,38.9
2024-06-27T16:10:00,20240627161000,0.353,36.7
2024-06-27T16:20:00,20240627162000,0.335,37.7
2024-06-27T16:30:00,20240627163000,0.315,36.3
2024-06-27T16:40:00,20240627164000,0.37,32.9
2024-06-27T16:50:00,20240627165000,0.365,32.3
2024-06-27T17:00:00,20240627170000,0.272,32.5
2024-06-27T17:10:00,20240627171000,0.474,32.9
2024-06-27T17:20:00,20240627172000,0.456,31.4
2024-06-27T17:30:00,20240627173000,0.411,31.1
2024-06-27T17:40:00,20240627174000,0.396,30.3
2024-06-27T17:50:00,20240627175000,0.321,28.9
2024-06-27T18:00:00,20240627180000,0.341,28.5
2024-06-27T18:10:00,20240627181000,0.321,29.1
2024-06-27T18:20:00,20240627182000,0.419,28.6
2024-06-27T18:30:00,20240627183000,0.241,28.6
2024-06-27T18:40:00,20240627184000,0.316,27.8
2024-06-27T18:50:00,20240627185000,0.34,26.6
2024-06-27T19:00:00,20240627190000,0.352,26.1
2024-06-27T19:10:00,20240627191000,0.249,24.4
2024-06-27T19:20:00,20240627192000,0.288,25.4
2024-06-27T19:30:00,20240627193000,0.327,25.1
2024-06-27T19:40:00,20240627194000,0.183,24.7
2024-06-27T19:50:00,20240627195000,0.227,24.0
2024-06-27T20:00:00,20240627200000,0.176,23.8
