Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-26T15:30:00,20240626153000,601.0
2024-06-26T15:40:00,20240626154000,564.0
2024-06-26T15:50:00,20240626155000,527.0
2024-06-26T16:00:00,20240626160000,493.0
2024-06-26T16:10:00,20240626161000,449.0
2024-06-26T16:20:00,20240626162000,417.0
2024-06-26T16:30:00,20240626163000,373.0
2024-06-26T16:40:00,20240626164000,332.0
2024-06-26T16:50:00,20240626165000,304.0
2024-06-26T17:00:00,20240626170000,275.0
2024-06-26T17:10:00,20240626171000,242.0
2024-06-26T17:20:00,20240626172000,213.0
2024-06-26T17:30:00,20240626173000,183.0
2024-06-26T17:40:00,20240626174000,150.0
2024-06-26T17:50:00,20240626175000,121.0
2024-06-26T18:00:00,20240626180000,97.5
2024-06-26T18:10:00,20240626181000,77.0
2024-06-26T18:20:00,20240626182000,60.2
2024-06-26T18:30:00,20240626183000,48.5
2024-06-26T18:40:00,20240626184000,37.8
2024-06-26T18:50:00,20240626185000,28.4
2024-06-26T19:00:00,20240626190000,20.6
2024-06-26T19:10:00,20240626191000,12.7
2024-06-26T19:20:00,20240626192000,7.4
2024-06-26T19:30:00,20240626193000,2.43
2024-06-26T19:40:00,20240626194000,-0.27
2024-06-26T19:50:00,20240626195000,-0.511
2024-06-26T20:00:00,20240626200000,-0.581
2024-06-26T20:10:00,20240626201000,-0.614
2024-06-26T20:20:00,20240626202000,-0.607
2024-06-26T20:30:00,20240626203000,-0.583
2024-06-26T20:40:00,20240626204000,-0.526
2024-06-26T20:50:00,20240626205000,-0.575
2024-06-26T21:00:00,20240626210000,-0.565
2024-06-26T21:10:00,20240626211000,-0.505
2024-06-26T21:20:00,20240626212000,-0.559
2024-06-26T21:30:00,20240626213000,-0.497
2024-06-26T21:40:00,20240626214000,-0.545
2024-06-26T21:50:00,20240626215000,-0.517
2024-06-26T22:00:00,20240626220000,-0.596
2024-06-26T22:10:00,20240626221000,-0.581
2024-06-26T22:20:00,20240626222000,-0.481
2024-06-26T22:30:00,20240626223000,-0.535
2024-06-26T22:40:00,20240626224000,-0.553
2024-06-26T22:50:00,20240626225000,-0.541
2024-06-26T23:00:00,20240626230000,-0.58
2024-06-26T23:10:00,20240626231000,-0.542
2024-06-26T23:20:00,20240626232000,-0.589
2024-06-26T23:30:00,20240626233000,-0.589
2024-06-26T23:40:00,20240626234000,-0.586
2024-06-26T23:50:00,20240626235000,-0.611
2024-06-27T00:00:00,20240627000000,-0.511
2024-06-27T00:10:00,20240627001000,-0.602
2024-06-27T00:20:00,20240627002000,-0.646
2024-06-27T00:30:00,20240627003000,-0.558
2024-06-27T00:40:00,20240627004000,-0.598
2024-06-27T00:50:00,20240627005000,-0.598
2024-06-27T01:00:00,20240627010000,-0.577
2024-06-27T01:10:00,20240627011000,-0.532
2024-06-27T01:20:00,20240627012000,-0.465
2024-06-27T01:30:00,20240627013000,-0.536
2024-06-27T01:40:00,20240627014000,-0.544
2024-06-27T01:50:00,20240627015000,-0.532
2024-06-27T02:00:00,20240627020000,-0.48
2024-06-27T02:10:00,20240627021000,-0.618
2024-06-27T02:20:00,20240627022000,-0.465
2024-06-27T02:30:00,20240627023000,-0.529
2024-06-27T02:40:00,20240627024000,-0.476
2024-06-27T02:50:00,20240627025000,-0.532
2024-06-27T03:00:00,20240627030000,-0.536
2024-06-27T03:10:00,20240627031000,-0.464
2024-06-27T03:20:00,20240627032000,-0.549
2024-06-27T03:30:00,20240627033000,-0.577
2024-06-27T03:40:00,20240627034000,-0.527
2024-06-27T03:50:00,20240627035000,-0.548
2024-06-27T04:00:00,20240627040000,-0.414
2024-06-27T04:10:00,20240627041000,-0.33
2024-06-27T04:20:00,20240627042000,2.32
2024-06-27T04:30:00,20240627043000,7.92
2024-06-27T04:40:00,20240627044000,13.6
2024-06-27T04:50:00,20240627045000,24.4
2024-06-27T05:00:00,20240627050000,35.3
2024-06-27T05:10:00,20240627051000,48.0
2024-06-27T05:20:00,20240627052000,60.5
2024-06-27T05:30:00,20240627053000,74.6
2024-06-27T05:40:00,20240627054000,93.6
2024-06-27T05:50:00,20240627055000,113.0
2024-06-27T06:00:00,20240627060000,138.0
2024-06-27T06:10:00,20240627061000,165.0
2024-06-27T06:20:00,20240627062000,194.0
2024-06-27T06:30:00,20240627063000,223.0
2024-06-27T06:40:00,20240627064000,256.0
2024-06-27T06:50:00,20240627065000,290.0
2024-06-27T07:00:00,20240627070000,327.0
2024-06-27T07:10:00,20240627071000,363.0
2024-06-27T07:20:00,20240627072000,400.0
2024-06-27T07:30:00,20240627073000,436.0
2024-06-27T07:40:00,20240627074000,472.0
2024-06-27T07:50:00,20240627075000,509.0
2024-06-27T08:00:00,20240627080000,552.0
2024-06-27T08:10:00,20240627081000,588.0
2024-06-27T08:20:00,20240627082000,613.0
2024-06-27T08:30:00,20240627083000,646.0
2024-06-27T08:40:00,20240627084000,676.0
2024-06-27T08:50:00,20240627085000,703.0
2024-06-27T09:00:00,20240627090000,728.0
2024-06-27T09:10:00,20240627091000,754.0
