Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,31.5,3.2,229.0,580.0,137912.0,132396.0
2024-06-26T15:40:00,20240626154000,31.4,3.19,215.0,577.0,129508.0,124295.0
2024-06-26T15:50:00,20240626155000,31.3,3.18,198.0,585.0,121714.0,116684.0
2024-06-26T16:00:00,20240626160000,31.2,3.17,186.0,586.0,114100.0,109249.0
2024-06-26T16:10:00,20240626161000,31.1,3.16,167.0,590.0,103940.0,99357.0
2024-06-26T16:20:00,20240626162000,31.1,3.15,153.0,595.0,96640.0,92269.0
2024-06-26T16:30:00,20240626163000,31.0,3.13,136.0,596.0,86054.0,82022.0
2024-06-26T16:40:00,20240626164000,30.9,3.12,119.0,592.0,75499.0,71838.0
2024-06-26T16:50:00,20240626165000,30.8,3.11,106.0,599.0,68560.0,65156.0
2024-06-26T17:00:00,20240626170000,30.7,3.1,93.7,604.0,61436.0,58079.0
2024-06-26T17:10:00,20240626171000,30.6,3.09,81.9,596.0,53713.0,50338.0
2024-06-26T17:20:00,20240626172000,30.5,3.08,68.3,602.0,45961.0,42696.0
2024-06-26T17:30:00,20240626173000,30.4,3.06,57.5,589.0,38655.0,35619.0
2024-06-26T17:40:00,20240626174000,30.3,3.05,44.1,599.0,30752.0,28089.0
2024-06-26T17:50:00,20240626175000,30.2,3.04,33.5,594.0,24099.0,21580.0
2024-06-26T18:00:00,20240626180000,29.9,3.03,25.3,587.0,18600.0,16215.0
2024-06-26T18:10:00,20240626181000,29.6,3.02,19.2,580.0,14457.0,12357.0
2024-06-26T18:20:00,20240626182000,29.3,3.01,14.0,569.0,10716.0,9002.0
2024-06-26T18:30:00,20240626183000,29.0,3.0,12.3,494.0,5526.0,4539.0
2024-06-26T18:40:00,20240626184000,28.7,2.98,9.2,474.0,2112.0,1708.0
2024-06-26T18:50:00,20240626185000,28.3,2.96,6.34,452.0,182.0,146.0
2024-06-26T19:00:00,20240626190000,28.0,2.93,1.64,525.0,0.0,0.0
