Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,33.1
2024-06-26T15:40:00,20240626154000,31.1
2024-06-26T15:50:00,20240626155000,28.7
2024-06-26T16:00:00,20240626160000,26.8
2024-06-26T16:10:00,20240626161000,24.4
2024-06-26T16:20:00,20240626162000,22.2
2024-06-26T16:30:00,20240626163000,19.8
2024-06-26T16:40:00,20240626164000,17.8
2024-06-26T16:50:00,20240626165000,15.9
2024-06-26T17:00:00,20240626170000,13.9
2024-06-26T17:10:00,20240626171000,12.0
2024-06-26T17:20:00,20240626172000,10.4
2024-06-26T17:30:00,20240626173000,8.44
2024-06-26T17:40:00,20240626174000,6.49
2024-06-26T17:50:00,20240626175000,4.7
2024-06-26T18:00:00,20240626180000,3.82
2024-06-26T18:10:00,20240626181000,3.1
2024-06-26T18:20:00,20240626182000,2.38
2024-06-26T18:30:00,20240626183000,1.66
2024-06-26T18:40:00,20240626184000,0.95
2024-06-26T18:50:00,20240626185000,0.398
2024-06-26T19:00:00,20240626190000,0.0727
2024-06-26T19:10:00,20240626191000,0.0732
2024-06-26T19:20:00,20240626192000,0.0709
2024-06-26T19:30:00,20240626193000,0.0686
2024-06-26T19:40:00,20240626194000,0.0662
2024-06-26T19:50:00,20240626195000,0.0639
2024-06-26T20:00:00,20240626200000,0.0616
2024-06-26T20:10:00,20240626201000,0.0592
2024-06-26T20:20:00,20240626202000,0.0569
2024-06-26T20:30:00,20240626203000,0.0546
2024-06-26T20:40:00,20240626204000,0.0522
2024-06-26T20:50:00,20240626205000,0.0499
2024-06-26T21:00:00,20240626210000,0.0476
2024-06-26T21:10:00,20240626211000,0.0453
2024-06-26T21:20:00,20240626212000,0.0429
2024-06-26T21:30:00,20240626213000,0.0406
2024-06-26T21:40:00,20240626214000,0.0383
2024-06-26T21:50:00,20240626215000,0.0359
2024-06-26T22:00:00,20240626220000,0.0336
2024-06-26T22:10:00,20240626221000,0.0313
2024-06-26T22:20:00,20240626222000,0.0289
2024-06-26T22:30:00,20240626223000,0.0266
2024-06-26T22:40:00,20240626224000,0.0151
2024-06-26T22:50:00,20240626225000,-0.0642
2024-06-26T23:00:00,20240626230000,-0.157
