Time,sanitized_timestamp_for_iri,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,1644246
2024-06-26T15:40:00,20240626154000,1559666
2024-06-26T15:50:00,20240626155000,1475086
2024-06-26T16:00:00,20240626160000,1390506
2024-06-26T16:10:00,20240626161000,1305926
2024-06-26T16:20:00,20240626162000,1221346
2024-06-26T16:30:00,20240626163000,1136766
2024-06-26T16:40:00,20240626164000,1052186
2024-06-26T16:50:00,20240626165000,967606
2024-06-26T17:00:00,20240626170000,883026
2024-06-26T17:10:00,20240626171000,798446
2024-06-26T17:20:00,20240626172000,713866
2024-06-26T17:30:00,20240626173000,629286
2024-06-26T17:40:00,20240626174000,544706
2024-06-26T17:50:00,20240626175000,460126
2024-06-26T18:00:00,20240626180000,375546
2024-06-26T18:10:00,20240626181000,290966
2024-06-26T18:20:00,20240626182000,206386
2024-06-26T18:30:00,20240626183000,121806
2024-06-26T18:40:00,20240626184000,40583
2024-06-26T18:50:00,20240626185000,18161
2024-06-26T19:00:00,20240626190000,17216
2024-06-26T19:10:00,20240626191000,16797
2024-06-26T19:20:00,20240626192000,16041
2024-06-26T19:30:00,20240626193000,15285
2024-06-26T19:40:00,20240626194000,14529
2024-06-26T19:50:00,20240626195000,13773
2024-06-26T20:00:00,20240626200000,13017
2024-06-26T20:10:00,20240626201000,12261
2024-06-26T20:20:00,20240626202000,11505
2024-06-26T20:30:00,20240626203000,10749
2024-06-26T20:40:00,20240626204000,9993
2024-06-26T20:50:00,20240626205000,9237
2024-06-26T21:00:00,20240626210000,8481
2024-06-26T21:10:00,20240626211000,7725
2024-06-26T21:20:00,20240626212000,6969
2024-06-26T21:30:00,20240626213000,6213
2024-06-26T21:40:00,20240626214000,5457
2024-06-26T21:50:00,20240626215000,4701
2024-06-26T22:00:00,20240626220000,3945
2024-06-26T22:10:00,20240626221000,3189
2024-06-26T22:20:00,20240626222000,2433
2024-06-26T22:30:00,20240626223000,1677
2024-06-26T22:40:00,20240626224000,921
2024-06-26T22:50:00,20240626225000,195
2024-06-26T23:00:00,20240626230000,0
2024-06-26T23:10:00,20240626231000,0
2024-06-26T23:20:00,20240626232000,0
2024-06-26T23:30:00,20240626233000,0
2024-06-26T23:40:00,20240626234000,0
2024-06-26T23:50:00,20240626235000,0
2024-06-27T00:00:00,20240627000000,0
2024-06-27T00:10:00,20240627001000,0
2024-06-27T00:20:00,20240627002000,0
2024-06-27T00:30:00,20240627003000,0
2024-06-27T00:40:00,20240627004000,0
2024-06-27T00:50:00,20240627005000,0
2024-06-27T01:00:00,20240627010000,0
2024-06-27T01:10:00,20240627011000,10369
2024-06-27T01:20:00,20240627012000,11180
2024-06-27T01:30:00,20240627013000,11991
2024-06-27T01:40:00,20240627014000,12802
2024-06-27T01:50:00,20240627015000,13613
2024-06-27T02:00:00,20240627020000,14424
2024-06-27T02:10:00,20240627021000,105589
2024-06-27T02:20:00,20240627022000,111211
2024-06-27T02:30:00,20240627023000,116832
2024-06-27T02:40:00,20240627024000,122453
2024-06-27T02:50:00,20240627025000,128075
2024-06-27T03:00:00,20240627030000,133696
2024-06-27T03:10:00,20240627031000,381044
2024-06-27T03:20:00,20240627032000,396419
2024-06-27T03:30:00,20240627033000,411794
2024-06-27T03:40:00,20240627034000,427169
2024-06-27T03:50:00,20240627035000,442544
2024-06-27T04:00:00,20240627040000,457919
2024-06-27T04:10:00,20240627041000,473294
2024-06-27T04:20:00,20240627042000,488669
2024-06-27T04:30:00,20240627043000,504044
2024-06-27T04:40:00,20240627044000,519419
2024-06-27T04:50:00,20240627045000,534794
2024-06-27T05:00:00,20240627050000,550169
2024-06-27T05:10:00,20240627051000,565544
2024-06-27T05:20:00,20240627052000,580919
2024-06-27T05:30:00,20240627053000,596294
2024-06-27T05:40:00,20240627054000,611669
2024-06-27T05:50:00,20240627055000,627044
2024-06-27T06:00:00,20240627060000,642419
2024-06-27T06:10:00,20240627061000,657794
2024-06-27T06:20:00,20240627062000,673169
2024-06-27T06:30:00,20240627063000,688544
2024-06-27T06:40:00,20240627064000,703919
2024-06-27T06:50:00,20240627065000,719294
2024-06-27T07:00:00,20240627070000,736937
2024-06-27T07:10:00,20240627071000,794315
2024-06-27T07:20:00,20240627072000,866207
