id,timestamp,device,s4mmet1.envtmp.mag.f,s2mmet1.envtmp.mag.f,s3mmet1.envtmp.mag.f,s5mmet1.envtmp.mag.f,tmpcntmmet1.envtmp.mag.f,tmppctmmet1.envtmp.mag.f,s2mmet1.poainsol1.mag.f,s3mmet1.poainsol1.mag.f,s4mmet1.poainsol1.mag.f,s5mmet1.poainsol1.mag.f,tmpcntmmet1.poainsol1.mag.f,tmppctmmet1.poainsol1.mag.f,s4pvstmp1.tmp.mag.f,s2pvstmp1.tmp.mag.f,s3pvstmp1.tmp.mag.f,s5pvstmp1.tmp.mag.f,tmpcntpvstmp1.tmp.mag.f,tmppctpvstmp1.tmp.mag.f
3265684,12/30/2024 1:43,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.350240082,0.480153412,0.020163619,0.210958901,13,100,3.106131098,1.954508781,4.546503544,0.651162001,13,100
3265893,12/30/2024 1:33,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.220606491,0.438095093,0.07226698,0.152733185,12,100,3.143430533,1.523221493,4.303104401,0.540426377,12,100
3265894,12/30/2024 1:43,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.315205902,0.522181213,0.109644832,0.244488881,13,100,3.218140948,2.197907925,4.96498394,0.569949014,13,100
3265896,12/30/2024 1:03,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.346750885,0.392552704,0.061123771,0.17952941,13,100,3.115305928,1.800782681,4.034085274,0.546636982,12,100
3266318,12/30/2024 4:10,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.378285736,0.364517212,-0.093068537,0.193441838,13,100,2.939777107,1.967321873,4.648989677,0.596834651,13,100
3266525,12/30/2024 3:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.367757171,0.431091309,0.037267379,0.243380692,13,100,2.674322444,0.882697105,3.850468159,0.636426565,12,100
3266528,12/30/2024 4:10,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.364262909,0.448613495,0.043783218,0.240305009,15,100,3.239775784,1.997212887,4.260406494,0.578938775,13,100
3266735,12/30/2024 3:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.406311035,0.364512116,0.063728907,0.203775748,14,100,3.528795382,2.044181824,4.529425621,0.680711555,13,100
3266943,12/30/2024 7:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.364252716,0.511672974,0.097884225,0.196123887,13,100,3.859218975,2.125319004,5.157143116,0.769171573,14,100
3266948,12/30/2024 6:56,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.36076355,0.389043182,0.010244586,0.245166982,13,100,4.364608487,3.278261662,5.460324287,0.525556717,13,100
3267153,12/30/2024 7:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.339742035,0.339991242,-0.035931196,0.194612401,12,100,4.458275034,2.543793201,6.237496853,0.698763639,12,100
3267158,12/30/2024 6:56,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.273167938,0.658838928,0.251793155,0.195176107,11,100,4.944890811,3.393560886,6.369874001,0.641321751,13,100
3267364,12/30/2024 10:03,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.052434284,0.711385071,0.286208758,0.230682216,11,100,4.593161944,2.744494438,6.079499722,0.663830437,14,100
3267367,12/30/2024 9:33,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.049179077,0.939127624,0.496252861,0.184417496,12,100,5.361152427,3.508853912,8.159076691,0.976982014,18,100
3267786,12/30/2024 9:23,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.168304443,0.749923706,0.509776867,0.127890084,12,100,8.138281164,5.515835285,10.4863224,1.254404944,18,100
3267787,12/30/2024 9:33,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.136779785,0.918111145,0.491050312,0.19862168,13,100,9.370187776,-0.33857584,16.02046967,2.246542485,23,100
3268203,12/30/2024 12:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.136769608,0.788462341,0.505251664,0.185318062,14,89.94616445,23.49967072,13.93235016,29.08720589,2.297714566,21,95.23809524
3268204,12/30/2024 12:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.013885498,0.781468689,0.42634244,0.247400757,14,100,24.20018869,22.4214592,27.16135597,0.930454414,18,100
3268206,12/30/2024 12:10,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.042170208,0.623794556,0.340058648,0.15017982,13,73.27883403,26.72378807,15.26891613,40.89851379,4.123481058,21,80.95238095
3268415,12/30/2024 12:00,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.083969116,0.693867981,0.308089998,0.194288361,12,100,27.99676044,25.61128235,31.67493629,1.342196667,20,100
3268625,12/30/2024 14:46,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.038406372,0.662338257,0.388617422,0.183067202,13,100,27.82549685,20.9866848,30.03945351,1.42465443,19,100
3268835,12/30/2024 14:46,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.087468468,0.574742615,0.28296815,0.180314267,13,100,22.45728154,20.15826607,25.42339325,0.873494152,22,100
3268837,12/30/2024 15:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.073699951,0.67284137,0.287570014,0.188346483,12,100,19.14101319,16.58413315,27.76345253,1.871049121,21,100
3269046,12/30/2024 17:43,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.111999512,0.651824951,0.402433855,0.201497623,12,100,6.597444841,5.174221039,8.543388367,0.733805471,14,100
3269255,12/30/2024 17:33,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.227615356,0.504664123,0.066049124,0.167741906,12,100,3.269240473,2.411416054,4.384241581,0.464669167,12,100
3269467,12/30/2024 17:53,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.3046875,0.304962158,0.100386359,0.1373509,13,100,3.181450518,1.903268814,4.858226776,0.512811474,14,100
3269468,12/30/2024 18:03,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.241628006,0.427581787,0.174527274,0.161379736,14,100,2.815548563,1.587274551,4.45256567,0.730929507,12,100
3269678,12/30/2024 20:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.220611572,0.40305075,0.108492657,0.166606074,13,100,1.671272289,-0.223282814,3.248370647,0.772353253,14,100
3269883,12/30/2024 21:00,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.406316131,0.368016571,0.020402338,0.174454891,14,100,1.71657758,0.494107723,3.098915577,0.638205749,12,100
3270093,12/30/2024 21:00,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.406316131,0.434590667,0.09941982,0.186133262,12,100,2.646760038,1.672676563,3.64550209,0.459771471,11,100
3270096,12/30/2024 20:30,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.294184357,0.259409577,0.016674871,0.143368064,12,100,2.572319519,1.360953331,4.213431358,0.545539147,13,100
3270306,12/30/2024 23:16,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.248636886,0.522191346,0.009001097,0.169620653,13,100,2.667328587,1.583003521,3.64550209,0.554583908,12,100
3270307,12/30/2024 23:26,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.371276855,0.329483032,0.050721397,0.17326162,13,100,2.50582837,0.754590988,4.324459553,0.807760098,15,100
3270308,12/30/2024 23:36,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.283681244,0.469629914,0.068263244,0.147946576,13,100,2.271181236,1.185878277,3.457613945,0.556733317,13,100
3270513,12/30/2024 23:46,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.304697663,0.44510904,0.076765549,0.202904444,12,100,2.315773853,0.720428944,3.585713863,0.651582726,12,100
3270515,12/30/2024 23:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.262659699,0.410064697,0.016207269,0.188132075,13,100,2.611541231,1.365224361,4.081054211,0.503023796,11,100
3270517,12/30/2024 23:26,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.346740723,0.490646362,0.083095538,0.176427154,14,100,3.236426885,1.348146439,4.350079536,0.608862659,14,100
3270725,12/30/2024 23:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.339736938,0.445103973,-0.064112593,0.207801025,12,100,2.803991654,1.553112507,4.341537476,0.647884378,12,100
3270726,12/30/2024 23:16,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.287180573,0.304957062,0.049935636,0.156238511,13,100,2.979721193,1.382308483,4.025543213,0.715091783,11,100
3270933,12/31/2024 2:33,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.346740723,0.462621063,0.007665433,0.210263986,12,100,2.703880474,0.925395012,3.577178001,0.562479168,12,100
3270935,12/31/2024 1:53,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.311716706,0.529190063,-0.010695128,0.217450234,13,100,2.755748961,1.570196629,3.765066147,0.612464224,13,100
3271143,12/31/2024 2:33,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.413314819,0.339996338,-0.015377492,0.20769371,12,100,3.100290404,2.232069969,3.794957161,0.403453639,12,100
3271145,12/31/2024 1:53,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.388783783,0.31896463,-0.030045282,0.183303471,12,100,2.533066597,1.463439465,3.803493023,0.594724232,12,100
3271565,12/31/2024 4:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.150533035,0.413574219,0.17446282,0.142957222,12,100,3.294478051,1.749542713,4.315917492,0.543724839,13,100
3271773,12/31/2024 5:20,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.357248932,0.427586883,0.10065131,0.196809882,13,100,3.67042673,2.646279335,5.114439011,0.597652496,14,100
3271774,12/31/2024 5:30,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.441340119,0.41355896,0.042024754,0.227315974,12,100,3.800360381,2.24488306,5.289514065,0.676109223,13,100
3271775,12/31/2024 4:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.329233795,0.396057129,0.04919207,0.169227367,13,100,3.692704886,2.556606293,4.789908886,0.548989122,14,100
3271984,12/31/2024 5:30,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.371276855,0.343495697,0.048079605,0.160452854,12,100,3.647215108,1.881919861,4.764282703,0.634765848,14,100
3272193,12/31/2024 8:06,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.322209686,0.417068481,0.016009134,0.210778496,13,100,4.025345623,2.727410316,5.669561386,0.523678932,15,100
3272196,12/31/2024 7:36,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.161036178,0.389053345,0.08973676,0.154308336,13,100,4.182311689,3.064753532,5.490215302,0.581286242,12,100
3272404,12/31/2024 8:16,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.115493774,0.662328064,0.380756965,0.186540543,12,100,4.481504417,3.739446163,5.229732037,0.454336586,13,100
3272405,12/31/2024 7:26,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.04542033,0.876063049,0.519484436,0.246469594,14,100,4.516353454,2.667628288,6.105119705,0.771571902,14,100
3272614,12/31/2024 11:03,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.133270264,0.953140259,0.569077039,0.244882803,11,100,7.182909627,-1.867294788,20.44009781,3.136281645,23,100
3272825,12/31/2024 10:13,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.154296875,0.925104797,0.48430903,0.174372172,13,100,10.23518,6.331440926,12.32676506,1.068126188,20,100
3273033,12/31/2024 10:53,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.157791138,0.781453431,0.457094042,0.167284237,12,100,13.66289495,1.489059448,16.44748497,2.204810828,23,100
3273243,12/31/2024 13:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.101740517,0.714889526,0.413211866,0.187533152,12,100,14.14790147,-0.620408058,24.82130241,3.368578351,20,100
3273246,12/31/2024 13:10,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.031656902,0.805979431,0.367708017,0.174865535,13,100,13.98372751,11.88267136,28.70715904,2.321728741,20,100
3273455,12/31/2024 13:00,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.115753174,0.707890809,0.405017494,0.165319945,12,100,19.17291389,5.47740221,23.60002899,3.143846714,23,100
3273457,12/31/2024 13:20,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.077204384,0.735921204,0.399567346,0.144608202,13,100,17.14395073,12.75378132,20.35469627,1.502377739,22,100
3273664,12/31/2024 13:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.027908325,0.834019959,0.401107507,0.205368478,12,100,14.26405711,7.54417181,24.00569534,1.869229455,22,100
3273873,12/31/2024 16:26,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.006891886,0.756942749,0.365409549,0.197147782,12,100,20.13365687,6.267387867,23.05344772,2.451346298,21,100
3273875,12/31/2024 15:46,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.069951378,0.669342041,0.278778933,0.162851673,11,100,18.16277951,16.29803085,22.27627563,1.108913818,18,100
3274083,12/31/2024 16:26,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,0.143783569,0.651830018,0.387234084,0.140104857,13,100,14.05080669,11.51543045,18.56122398,1.354290492,23,100
3274506,12/31/2024 18:43,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.423828125,0.497665405,0.134151285,0.216785924,12,100,0.519130936,-0.513650894,1.766620636,0.487343289,11,100
3274924,12/31/2024 19:23,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.280171722,0.413579315,0.027649142,0.180339056,13,100,4.733985445,3.299616814,6.126468658,0.710819901,13,100
3274925,12/31/2024 21:20,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.318710327,0.41007486,0.072436444,0.229000017,12,100,4.693421175,3.957219124,6.041066647,0.518489547,13,100
3274927,12/31/2024 21:40,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.294184357,0.347000122,0.079209325,0.162386956,11,100,4.639241999,3.060482502,5.900153637,0.670829238,14,100
3274928,12/31/2024 21:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.343236297,0.385543823,0.133547408,0.188852725,13,100,5.012614591,3.385018826,6.096577644,0.663101219,13,100
3275345,12/31/2024 21:20,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.423823029,0.455612183,0.034061511,0.216041922,13,100,6.04617117,4.648989677,7.54417181,0.738567189,16,100
3275348,12/31/2024 21:50,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.269658417,0.417068481,0.027538018,0.205973114,12,100,6.71683303,4.935092926,8.406745911,0.860615672,14,100
3275553,12/31/2024 22:00,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.301193237,0.403066009,0.008616396,0.219633073,11,100,6.908828445,5.609779358,8.475070953,0.659326195,11,100
